2 FFP logarithmic_case well-constrained agree_well | 28.287285 0.058375 -0.195535 0.554204 1.000000 0.182748 | 0.000222 0.020741 0.056407 0.030420 0.000061 0.044963 | 28.286161 0.000164 0.000165 -1.203888 0.019049 0.019190 -0.000092 0.046619 0.046530 -0.320269 0.021456 0.021529 0.999986 0.000059 0.000060 -0.831490 0.027243 0.026840 
3 FFP linear_case well-constrained agree_well | 70.903703 23.321657 0.923073 0.010984 1.000000 0.735691 | 0.021895 0.036510 0.001244 0.000111 0.002022 | 70.927832 0.029717 0.030418 22.686837 0.401700 0.389873 0.963205 0.025537 0.025444 1.000150 0.000194 0.000205 0.799127 0.043970 0.041681 
3 FFP linear_case well-constrained agree_well | 70.903703 23.321657 0.923073 0.010984 1.000000 0.735691 | 0.021895 0.036510 0.001244 0.000111 0.002022 | 70.927665 0.029527 0.029979 22.708610 0.378584 0.407438 0.962010 0.026698 0.023941 1.000135 0.000188 0.000190 0.797253 0.045682 0.039438 
8 FFP linear_case well-constrained agree_well | 28.037590 1.811266 0.078526 0.015001 1.000000 0.541034 | 0.000128 0.003461 0.000209 0.000085 0.001430 | 28.036880 0.000131 0.000127 1.786729 0.004451 0.004534 0.081343 0.000291 0.000286 0.999959 0.000085 0.000086 0.548227 0.001966 0.001909 
10 FFP linear_case well-constrained agree_well | 73.059967 0.529861 -0.190463 0.095442 1.000000 0.652265 | 0.000121 0.001567 0.000796 0.000059 0.003249 | 73.057804 0.000124 0.000124 0.531917 0.002370 0.002489 0.184440 0.001281 0.001271 0.999963 0.000060 0.000059 0.643270 0.005025 0.004909 
3 FFP linear_case well-constrained agree_well | 70.903703 23.321657 0.923073 0.010984 1.000000 0.735691 | 0.021895 0.036510 0.001244 0.000111 0.002022 | 70.927567 0.029658 0.029845 22.674142 0.375773 0.392191 0.964072 0.025643 0.023712 1.000158 0.000191 0.000201 0.800789 0.044069 0.039358 
26 FFP linear_case well-constrained agree_well | 10.021382 1.183504 -0.058854 0.148627 1.000000 0.739521 | 0.000044 0.001059 0.000221 0.000168 0.000040 0.001012 | 10.021207 0.000040 0.000040 1.214212 0.001604 0.001881 0.053097 0.000332 0.000277 0.145629 0.000276 0.000251 0.999951 0.000040 0.000041 0.699710 0.001623 0.001436 
26 FFP linear_case well-constrained agree_well | 10.021382 1.183504 -0.058854 0.148627 1.000000 0.739521 | 0.000044 0.001059 0.000221 0.000168 0.000040 0.001012 | 10.021203 0.000041 0.000041 1.214218 0.001765 0.001874 0.053097 0.000339 0.000296 0.145624 0.000285 0.000269 0.999952 0.000040 0.000041 0.699676 0.001664 0.001508 
26 FFP linear_case well-constrained agree_well | 10.021382 1.183504 -0.058854 0.148627 1.000000 0.739521 | 0.000044 0.001059 0.000221 0.000168 0.000040 0.001012 | 10.021202 0.000043 0.000040 1.214224 0.001661 0.001871 0.053099 0.000346 0.000281 0.145628 0.000280 0.000255 0.999950 0.000040 0.000041 0.699693 0.001664 0.001451 
26 FFP linear_case well-constrained agree_well | 10.021382 1.183504 -0.058854 0.148627 1.000000 0.739521 | 0.000044 0.001059 0.000221 0.000168 0.000040 0.001012 | 10.021204 0.000042 0.000043 1.214321 0.001646 0.001909 0.053087 0.000340 0.000288 0.145613 0.000288 0.000259 0.999952 0.000042 0.000041 0.699596 0.001684 0.001450 
45 FFP linear_case well-constrained agree_well | 74.419915 0.279373 -0.132868 0.167226 1.000000 0.062410 | 0.000270 0.009044 0.006402 0.006741 0.000062 0.003013 | 74.418450 0.000245 0.000240 0.320682 0.014946 0.014835 0.101455 0.007179 0.006727 0.134215 0.007784 0.007335 0.999922 0.000061 0.000062 0.048007 0.003273 0.003071 
85 FFP linear_case well-constrained agree_well | 26.520113 0.051725 -0.336763 0.706382 1.000000 0.391460 | 0.000123 0.001709 0.042705 0.035965 0.000052 0.031124 | 26.520080 0.000131 0.000127 0.043084 0.003660 0.003518 0.576043 0.146977 0.124381 0.935699 0.140270 0.115395 1.000050 0.000048 0.000052 0.611764 0.160741 0.117612 
115 FFP linear_case well-constrained agree_well | 12.001336 0.828145 0.008243 0.016346 1.000000 0.167155 | 0.000018 0.003627 0.000069 0.000074 0.000087 0.000825 | 12.001340 0.000019 0.000019 0.796289 0.005912 0.006070 0.008217 0.000107 0.000114 0.016713 0.000138 0.000137 0.999983 0.000087 0.000087 0.172835 0.001500 0.001467 
